domain,product_count,variant_count,price_min,price_median,price_max,currency,visible_stock_records,visible_in_stock_rate,exact_quantity_records,exact_quantity_sum,reta_product_count,reta_options_prices,coverage,extraction_methods,source_urls,captured_at,confidence,caveat
mytidelab.com,33,62,17.99,89.99,227.48,USD,62,0.629,30,2101,2,Retatrutide [Potency: 30mg]: USD 192 | Retatrutide [Potency: 20mg]: USD 140.99 | Retatrutide [Potency: 10mg]: USD 99.99 | Lab Test Sample – Retatrutide 20mg [LAB-RETATRUTIDE-20MG]: price unknown,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://mytidelab.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://mytidelab.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://mytidelab.com/ | https://mytidelab.com/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
neb.co,75,75,9,45,295,USD,75,1,0,,3,RETATRUTIDE RX MULTIDOSE 16mg PEN [Size: 5mg / 10mg / 20mg / 30mg]: USD 285 | Retatrutide 30mg [Size: 5mg / 10mg / 20mg / 30mg]: USD 165 | Retatrutide 16mg [Size: 5mg / 10mg / 20mg / 30mg]: USD 110,complete_public_woo_api,WooCommerce Store API,https://newbiorx.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://newbiorx.com/ | https://newbiorx.com/products.json?limit=250&page=1 | https://newbiorx.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
nextechlaboratories.com,70,70,8.99,90,2374.05,USD,70,0.9857,0,,0,,complete_public_woo_api,WooCommerce Store API,https://nextechlaboratories.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://nextechlaboratories.com/ | https://nextechlaboratories.com/products.json?limit=250&page=1 | https://nextechlaboratories.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
ngpeptide.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://ngpeptide.com/ | https://ngpeptide.com/products.json?limit=250&page=1 | https://ngpeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://ngpeptide.com/sitemap.xml | https://ngpeptide.com/product-sitemap.xml | https://ngpeptide.com/wp-sitemap-posts-product-1.xml | https://ngpeptide.com/xmlsitemap.php,2026-07-28T01:57:24.110Z,unknown,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: browser-challenge. | No gate was accepted, no account was created, and no inventory was inferred."
northwestpeptides.com,52,78,7.99,69.99,279.99,USD,78,0.8974,5,27,1,GLP-3 [Size: 60mg]: USD 279.99 | GLP-3 [Size: 50mg]: USD 249.99 | GLP-3 [Size: 30mg]: USD 179.99 | GLP-3 [Size: 20mg]: USD 149.99 | GLP-3 [Size: 15mg]: USD 129.99 | GLP-3 [Size: 10mg]: USD 109.99,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://northwestpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://northwestpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://northwestpeptides.com/ | https://northwestpeptides.com/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
nosbarbersupply.com,1525,1990,0.99,25.99,599.99,USD,1990,0.9518,0,,1,HOLAS RETATRUTIDE PEPTIDE [10MG]: USD 199.99 | HOLAS RETATRUTIDE PEPTIDE [10MG W/RECONSTITUTION (+$5.00)]: USD 204.99 | HOLAS RETATRUTIDE PEPTIDE [15MG]: USD 249.99 | HOLAS RETATRUTIDE PEPTIDE [15MG W/RECONSTITUTION (+$5.00)]: USD 254.99 | HOLAS RETATRUTIDE PEPTIDE [20MG]: USD 299.99 | HOLAS RETATRUTIDE PEPTIDE [20MG W/RECONSTITUTION (+$5.00)]: USD 304.99,complete_public_shopify_feed,Shopify product JSON | Shopify products.json,https://nosbarbersupply.com/products/hustle-butter-daily-rejuvenating-lotion.js | https://nosbarbersupply.com/products/kiepe-hepike-nitrocut-clipper-6371.js | https://nosbarbersupply.com/products/kiepe-hepike-nitrocut-trimmer-6372.js | https://nosbarbersupply.com/products/immortal-nyc-super-curl-cream-500ml.js | https://nosbarbersupply.com/products/immortal-nyc-chaos-sea-salt-styling-cream-500ml.js | https://nosbarbersupply.com/products/stmnt-shaving-gel-5oz.js | https://nosbarbersupply.com/products/babylisspro-precision-magnetic-clipper-guards-6pk-fxpcmg.js | https://nosbarbersupply.com/products/babylisspro-mim-deep-tooth-trimmer-blade-fx7095b.js | https://nosbarbersupply.com/products/babylisspro-black-titanium-mim-space-blade-fx8095b.js | https://nosbarbersupply.com/products/wmark-vector-motor-clipper.js | https://nosbarbersupply.com/products/wmark-plus-vector-motor-clipper-ng-x1plus.js | https://nosbarbersupply.com/products/wmark-compact-bldc-motor-clipper-blue-ng-v4.js | 1521 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
nupeps.com,49,49,15,85,240,USD,49,0.8571,41,846,4,GLP3-R 10MG: USD 130 | GLP3-R 40mg: USD 220 | GLP3-R 30mg: USD 200 | GLP3-R 20mg: USD 160,complete_public_woo_api,WooCommerce Store API,https://nupeps.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://nupeps.com/ | https://nupeps.com/products.json?limit=250&page=1 | https://nupeps.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
nurevpeptides.com,44,66,8.99,55,269,USD,66,0.9394,34,4645,2,GLP-3 RETA [Size: 15mg]: USD 149 | GLP-3 RETA [Size: 10mg]: USD 89 | GLP-3 RETA [Size: 30mg]: USD 269 | GLP-3 RETA [Size: 20mg]: USD 199 | RETA 30 GLP-3 RT 30 MG: USD 269,complete_public_woo_api,woocommerce_store_api_orphan_variation | WooCommerce Store API,https://nurevpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://nurevpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://nurevpeptides.com/ | https://nurevpeptides.com/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
nusciencepeptides.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://nusciencepeptides.com/ | https://nusciencepeptides.com/products.json?limit=250&page=1 | https://nusciencepeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://nusciencepeptides.com/sitemap.xml | https://nusciencepeptides.com/product-sitemap.xml | https://nusciencepeptides.com/wp-sitemap-posts-product-1.xml | https://nusciencepeptides.com/xmlsitemap.php,2026-07-28T01:57:24.110Z,unknown,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: browser-challenge. | No gate was accepted, no account was created, and no inventory was inferred."
nxtstate.co,29,31,14.99,54.99,119.99,USD,31,0.9677,0,,1,Retatrutide [Content: 10mg]: USD 79.99,complete_public_woo_api,WooCommerce Store API,https://nxtstate.co/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://nxtstate.co/wp-json/wc/store/v1/products?per_page=100&page=1 | https://nxtstate.co/ | https://nxtstate.co/blog/dsip-peptide-sleep/?limit=250,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: browser-challenge. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
