domain,product_count,variant_count,price_min,price_median,price_max,currency,visible_stock_records,visible_in_stock_rate,exact_quantity_records,exact_quantity_sum,reta_product_count,reta_options_prices,coverage,extraction_methods,source_urls,captured_at,confidence,caveat
ascendingpeptides.co,18,22,8,42,120,USD,22,0.7273,0,,1,Retatrutide [5mg]: USD 45,complete_public_sitemap_html,Public storefront JavaScript catalog,https://ascendingpeptides.co/assets/shared.js | https://ascendingpeptides.co/ | https://ascendingpeptides.co/products.json?limit=250&page=1 | https://ascendingpeptides.co/wp-json/wc/store/v1/products?per_page=100&page=1 | https://ascendingpeptides.co/sitemap.xml | https://ascendingpeptides.co/product-sitemap.xml | https://ascendingpeptides.co/wp-sitemap-posts-product-1.xml | https://ascendingpeptides.co/xmlsitemap.php,2026-07-28T01:57:22.714Z,medium,No exact public inventory quantity is exposed; quantity sum is blank.
ascensionlabs.bio,10,10,15,67.49,109.99,USD,10,0.8,0,,1,RETA GLP-3RT Tri-Agonist Research Peptide 10mg [RT10]: USD 69.99,partial_public_html,Product JSON-LD,https://ascensionlabs.bio/product/klow-kl80 | https://ascensionlabs.bio/product/reta-rt10 | https://ascensionlabs.bio/product/bacwater-10ml | https://ascensionlabs.bio/product/mots-c-10mg | https://ascensionlabs.bio/product/melanotan-2-10mg | https://ascensionlabs.bio/product/nad-500mg | https://ascensionlabs.bio/product/cjc-ipa-10mg | https://ascensionlabs.bio/product/selank-10mg | https://ascensionlabs.bio/product/semax-10mg | https://ascensionlabs.bio/product/tesamorelin-10mg | https://ascensionlabs.bio/ | https://ascensionlabs.bio/products.json?limit=250&page=1 | 5 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:22.714Z,low,Prior rendered UI state: age-and-research-gate. Fields came only from the initial anonymous GET response; no gate was accepted and no form data was entered. | No exact public inventory quantity is exposed; quantity sum is blank.
ascensionlabsusa.com,6,6,39.99,72.49,499.99,USD,6,1,0,,0,,partial_public_html,Product JSON-LD,https://ascensionlabsusa.com/product/cardiogen-20mg/ | https://ascensionlabsusa.com/product/tb-500-5mg-research-peptide/ | https://ascensionlabsusa.com/product/slu-pp-332-10mg-metabolic-research-compound/ | https://ascensionlabsusa.com/product/ss-31-10-mg-research-peptide-mitochondrial-oxidative-stress-models/ | https://ascensionlabsusa.com/product/fat-burning-research-stack/ | https://ascensionlabsusa.com/product/moab-research-stack-multi-system-performance-panel/ | https://ascensionlabsusa.com/ | https://ascensionlabsusa.com/products.json?limit=250&page=1 | https://ascensionlabsusa.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://ascensionlabsusa.com/sitemap.xml | https://ascensionlabsusa.com/product-sitemap.xml | https://ascensionlabsusa.com/wp-sitemap-posts-product-1.xml | 19 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:22.714Z,low,18 product pages failed | No exact public inventory quantity is exposed; quantity sum is blank.
ascensionpeptides.com,42,42,40,62,250,USD,42,0.9286,0,,0,,complete_public_woo_api,WooCommerce Store API,https://ascensionpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://ascensionpeptides.com/ | https://ascensionpeptides.com/products.json?limit=250&page=1 | https://ascensionpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:22.714Z,high,No exact public inventory quantity is exposed; quantity sum is blank.
behemothlabz.com,436,793,0,57.28,1800.46,USD,793,0.8752,51,1344,3,Buy Retatrutide + Tirzepatide Blend [Variant: 60mg / vial]: USD 298.52 | LY3437943 [Strength: 12mg]: USD 354.2 | Retatrutide Spray [Strength: 100mcg per spray/10ml/10mg]: USD 295.17 | LY3437943 [Strength: 5mg]: USD 147.58 | LY3437943 [Strength: 10mg]: USD 295.17,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=2&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=3&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=4&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=5&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=6&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=7&type=variation | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=2 | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=3 | https://behemothlabz.com/wp-json/wc/store/v1/products?per_page=100&page=4 | https://behemothlabz.com/ | 2 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:22.714Z,high,Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
biolongevitylabs.com,82,239,9.99,165,28764,USD,239,0.6402,0,,0,,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://biolongevitylabs.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://biolongevitylabs.com/wp-json/wc/store/v1/products?per_page=100&page=2&type=variation | https://biolongevitylabs.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://biolongevitylabs.com/ | https://biolongevitylabs.com/products.json?limit=250&page=1,2026-07-28T01:57:22.714Z,high,No exact public inventory quantity is exposed; quantity sum is blank.
biopepstore.com,79,79,6.99,19,145.99,USD,79,0.8481,19,20,0,,complete_public_woo_api,WooCommerce Store API,https://biopepstore.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://biopepstore.com/ | https://biopepstore.com/products.json?limit=250&page=1 | https://biopepstore.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:22.714Z,high,Prior rendered UI state: age-verification-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
biopepusa.com,27,71,14.99,189.99,1999,USD,71,1,71,1759,1,"GLP3 – RETA [Size: 15mg, Quantity: Pack of 10]: USD 1599 | GLP3 – RETA [Size: 15mg, Quantity: Single Vial]: USD 189 | GLP3 – RETA [Size: 30mg, Quantity: Pack of 10]: USD 1999 | GLP3 – RETA [Size: 30mg, Quantity: Single Vial]: USD 239 | GLP3 – RETA [Size: 10mg, Quantity: Pack of 10]: USD 1249 | GLP3 – RETA [Size: 10mg, Quantity: Single Vial]: USD 129",complete_public_woo_api,WooCommerce Store API,https://biopepusa.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://biopepusa.com/ | https://biopepusa.com/products.json?limit=250&page=1 | https://biopepusa.com/wp-json/wc/store/v1/products?per_page=100&page=1,2026-07-28T01:57:22.714Z,high,Prior rendered UI state: age-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
bluumpeptides.com,46,75,15,65,469,USD,75,0.9333,0,,1,Retatrutide [10mg]: USD 125 | Retatrutide [15mg]: USD 159 | Retatrutide [20mg]: USD 199 | Retatrutide [30mg]: USD 279 | Retatrutide [60mg]: USD 469,complete_public_shopify_feed,Shopify product JSON | Shopify products.json,https://bluumpeptides.com/products/acetic-acid-water-0-6.js | https://bluumpeptides.com/products.json?limit=250&page=1 | https://bluumpeptides.com/products/glp2-t.js | https://bluumpeptides.com/products/aod9604.js | https://bluumpeptides.com/products/ahk-cu.js | https://bluumpeptides.com/products/pt-141.js | https://bluumpeptides.com/products/sermorelin.js | https://bluumpeptides.com/ | https://bluumpeptides.com/products/foxo4-dri.js | https://bluumpeptides.com/products/glp1-s.js | https://bluumpeptides.com/products/6c-peptide-unmodified-p21.js | https://bluumpeptides.com/products/gonadorelin.js | 36 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:22.714Z,high,Prior rendered UI state: age-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
bulkglp.com,43,59,30,140,5250,USD,59,0.9153,0,,2,"Buy Retatrutide Research Peptide [Size: 10mg, Formulation: Mannitol Free]: USD 153 | Buy Retatrutide Research Peptide [Size: 15mg, Formulation: Mannitol Free]: USD 193 | Buy Retatrutide Research Peptide [Size: 20mg, Formulation: Mannitol Free]: USD 232 | Buy Retatrutide Research Peptide [Size: 30mg, Formulation: Mannitol Free]: USD 281 | Buy Retatrutide Research Peptide [Size: 12mg, Formulation: Standard (Default)]: USD 133 | Buy Retatrutide Research Peptide [Size: 50mg, Formulation: Standard (Default)]: USD 346 | Buy Retatrutide Raw Powder (Lyophilized) — 500mg / 1g [Size: 1g]: USD 3483 | Buy Retatrutide Raw Powder (Lyophilized) — 500mg / 1g [Size: 500mg]: USD 1780 | Buy Retatrutide Research Peptide [Size: 30mg – 10 Pack, Formulation: Standard (Default)]: USD 1799 | Buy Retatrutide Research Peptide [Size: 20mg – 10 Pack, Formulation: Standard (Default)]: USD 1369 | Buy Retatrutide Research Peptide [Size: 15mg – 10 Pack, Formulation: Standard (Default)]: USD 1193 | Buy Retatrutide Research Peptide [Size: 10mg – 10 Pack, Formulation: Standard (Default)]: USD 949 | Buy Retatrutide Research Peptide [Size: 30mg, Formulation: Standard (Default)]: USD 228 | Buy Retatrutide Research Peptide [Size: 20mg, Formulation: Standard (Default)]: USD 189 | Buy Retatrutide Research Peptide [Size: 15mg, Formulation: Standard (Default)]: USD 149 | Buy Retatrutide Research Peptide [Size: 10mg, Formulation: Standard (Default)]: USD 120",complete_public_woo_api,WooCommerce Store API,https://bulkglp.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://bulkglp.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://bulkglp.com/ | https://bulkglp.com/products.json?limit=250&page=1,2026-07-28T01:57:22.714Z,high,No exact public inventory quantity is exposed; quantity sum is blank.
